                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.84862,                0.61849,                  1.108,                0.83857,                0.82703,                0.86847,                0.54717,                 1.3507,                 0.8681,                 1.4944,             5.1196e-05,             5.1196e-05,             5.1196e-05
                     88,                0.83501,                0.59428,                 1.1006,                0.88275,                0.79594,                0.86903,                 0.5478,                 1.3498,                0.86697,                 1.4941,             4.7998e-05,             4.7998e-05,             4.7998e-05
                     89,                0.83585,                0.60837,                 1.1014,                0.84124,                0.82776,                0.86796,                0.54687,                 1.3537,                0.85698,                 1.4935,               4.48e-05,               4.48e-05,               4.48e-05
                     90,                0.83094,                0.59743,                 1.0972,                0.85145,                0.82068,                0.86771,                0.54511,                 1.3439,                0.85206,                 1.4899,             4.1602e-05,             4.1602e-05,             4.1602e-05
                     91,                0.76801,                 0.5512,                 1.0798,                0.82738,                0.83198,                 0.8606,                   0.54,                 1.3653,                0.87769,                   1.52,             3.8405e-05,             3.8405e-05,             3.8405e-05
                     92,                0.74523,                0.51419,                 1.0531,                 0.8811,                0.79737,                0.86637,                0.54697,                  1.347,                0.84869,                 1.5054,             3.5207e-05,             3.5207e-05,             3.5207e-05
                     93,                0.73639,                0.51004,                 1.0527,                0.86706,                0.80569,                0.86571,                 0.5476,                 1.3463,                0.87074,                 1.5117,             3.2009e-05,             3.2009e-05,             3.2009e-05
                     94,                0.73401,                0.49863,                 1.0537,                0.86843,                0.81776,                0.86776,                0.54668,                 1.3535,                0.85389,                 1.5161,             2.8812e-05,             2.8812e-05,             2.8812e-05
                     95,                0.71568,                0.48809,                 1.0411,                0.85907,                0.82149,                0.86787,                0.54684,                 1.3472,                0.85182,                 1.5156,             2.5614e-05,             2.5614e-05,             2.5614e-05
                     96,                0.72205,                0.49442,                 1.0442,                0.86329,                0.82161,                0.86811,                0.54943,                 1.3495,                0.85798,                 1.5172,             2.2416e-05,             2.2416e-05,             2.2416e-05
                     97,                0.70727,                0.48462,                 1.0482,                  0.875,                0.81433,                0.87073,                 0.5489,                 1.3457,                0.84884,                 1.5079,             1.9219e-05,             1.9219e-05,             1.9219e-05
                     98,                 0.7229,                0.48895,                  1.045,                 0.8622,                 0.8211,                0.86723,                0.54965,                 1.3475,                0.85155,                 1.5094,             1.6021e-05,             1.6021e-05,             1.6021e-05
                     99,                0.71077,                0.48074,                 1.0441,                0.87402,                 0.8169,                0.86675,                0.54843,                 1.3494,                0.84984,                 1.5162,             1.2823e-05,             1.2823e-05,             1.2823e-05
                    100,                0.70438,                0.48653,                 1.0375,                0.86425,                0.82628,                0.86936,                0.55151,                 1.3501,                0.84778,                 1.5148,             9.6254e-06,             9.6254e-06,             9.6254e-06
